date,ativos,obitos,recuperados
20200310,1,0,0
20200311,5,0,0
20200312,5,0,0
20200313,5,0,0
20200314,5,0,0
20200315,7,0,0
20200316,9,0,0
20200317,14,0,0
20200318,17,0,0
20200319,27,0,0
20200320,31,0,0
20200321,31,0,0
20200322,37,0,0
20200323,46,0,0
20200324,56,0,0
20200325,66,0,0
20200326,57,0,14
20200327,58,0,17
20200328,56,0,23
20200329,40,0,39
20200330,48,0,42
20200331,49,0,48
20200401,55,0,54
20200402,72,0,61
20200403,84,0,68
20200404,114,0,71
20200405,138,0,74
20200406,138,3,79
20200407,155,3,83
20200408,158,5,85
20200409,198,5,96
20200410,225,5,96
20200411,225,6,107
20200412,223,6,109
20200413,223,6,109
20200414,223,6,118
20200415,231,7,120
20200416,252,8,125
20200417,249,8,134
20200418,204,8,189
20200419,207,9,210
20200420,198,10,227
20200421,170,14,266
20200422,172,14,290
20200423,144,14,318
20200424,144,14,331
20200425,136,15,352
20200426,133,16,360
20200427,153,17,365
20200428,162,17,380
20200429,152,19,393
20200430,131,23,450
20200501,128,23,463
20200502,128,23,463
20200503,128,25,470
20200504,142,26,483
20200505,145,26,487
20200506,151,27,495
20200507,160,28,518
20200508,172,28,523
20200509,173,29,529
20200510,173,29,529
20200511,174,29,538
20200512,181,29,549
20200513,182,31,561
20200514,181,31,593
20200515,191,33,605
20200516,195,33,613
20200517,195,33,613
20200518,195,34,625
20200519,212,34,633
20200520,210,34,658
20200521,211,35,667
20200522,211,36,674
20200523,218,36,682
20200524,218,36,682
20200525,220,38,703
20200526,222,39,714
20200527,228,40,727
20200528,238,42,809
20200529,213,45,842
20200530,209,46,854
20200531,209,46,854
20200601,207,50,872
20200602,182,52,924
20200603,196,53,942
20200604,205,54,953
20200605,201,54,982
20200606,219,58,1013
20200607,219,58,1013
20200608,260,61,1031
20200609,293,63,1043
20200610,341,67,1211
20200611,368,71,1226
20200612,396,74,1248
20200613,436,78,1263
20200614,436,78,1263
20200615,462,83,1320
20200616,819,89,1467
20200617,879,94,1516
20200618,905,97,1541
20200619,1000,99,1564
20200620,1107,102,1625
20200621,1079,109,1697
20200622,1135,114,1783
20200623,1296,116,1886
20200624,1412,120,2241
20200625,1530,123,2295
20200626,1643,127,2331
20200627,1689,133,2377
20200628,1614,140,2531
20200629,1934,145,2695
20200630,2226,148,2804
20200701,2529,152,2842
20200702,2881,167,2909
20200703,2460,172,3736
20200704,2546,182,3759
20200705,2843,189,3893
20200706,3298,195,4127
20200707,3435,206,4235
20200708,3779,216,4521
20200709,4020,226,4688
20200710,3709,233,5446
20200711,3740,242,5773
20200712,3861,253,5825
20200713,4389,267,5874
20200714,4569,287,5907
20200715,4657,299,6524
20200716,5131,310,6807
20200717,5367,323,7023
20200718,5621,336,7224
20200719,5705,350,7433
20200720,5856,369,7800
20200721,6100,387,8005
20200722,6385,404,8365
20200723,6941,422,8431
20200724,7573,444,8497
20200725,7795,460,8623
20200726,7992,465,8666
20200727,6514,480,10424
20200728,6285,491,11034
20200729,6094,504,11623
20200730,5690,524,12503
20200731,5787,548,13081
20200801,3971,563,15501
20200802,3877,579,15997
20200803,3915,598,16527
20200804,3947,620,17093
20200805,4001,647,17745
20200806,3924,660,18285
20200807,4008,675,18628
20200808,4514,691,18511
20200809,4424,708,18938
20200810,4282,724,19537
20200811,4393,737,19824
20200812,4822,751,19867
20200813,4704,766,20483
20200814,4891,777,20775
20200815,4527,792,21566
20200816,4493,805,22002
20200817,4333,818,22596
20200818,4257,835,23103
20200819,4584,854,23197
20200820,4410,873,23779
20200821,4611,891,23857
20200822,4316,906,24407
20200823,4557,916,24534
20200824,4450,925,24940
20200825,4815,932,24880
20200826,5199,943,24938
20200827,5235,955,25346
20200828,5440,965,25602
20200829,5517,976,25890
20200830,5556,987,26167
20200831,5760,997,26305
20200901,3624,1010,28824
20200902,3770,1021,29110
20200903,3839,1039,29529
20200904,3784,1051,30067
20200905,3784,1062,30576
20200906,3811,1068,30997
20200907,3997,1075,31234
20200908,4176,1082,31240
20200909,4207,1092,31483
20200910,4053,1100,31993
20200911,4129,1109,32272
20200912,4405,1118,32457
20200913,4599,1128,32699
20200914,4668,1137,33095
20200915,4644,1149,33566
20200916,4836,1156,33729
20200917,4717,1169,34240
20200918,4487,1178,34781
20200919,4328,1185,35297
20200920,4348,1191,35591
20200921,4529,1204,35726
20200922,4380,1213,36214
20200923,4613,1226,36312
20200924,4891,1235,36443
20200925,4891,1246,36758
20200926,4848,1255,37130
20200927,4576,1255,37402
20200928,4401,1266,37918
20200929,4298,1280,38338
20200930,4210,1291,38662
20201001,3619,1299,39627
20201002,3620,1310,39964
20201003,3508,1315,40374
20201004,3508,1315,40374
20201005,3526,1326,40635
20201006,3324,1335,41136
20201007,3296,1341,41508
20201008,3306,1346,41864
20201009,3329,1355,42181
20201010,3353,1362,42541
20201011,3325,1379,42897
20201012,3325,1379,42897
20201013,3223,1385,43253
20201014,2946,1391,43687
20201015,2958,1397,43947
20201016,2975,1401,44201
20201017,3100,1408,44420
20201018,3100,1408,44420
20201019,3158,1417,44685
20201020,3045,1421,45071
20201021,3004,1423,45352
20201022,3068,1430,45647
20201023,3132,1437,45904
20201024,3251,1444,46139
20201025,3286,1454,46357
20201026,3286,1454,46357
20201027,3492,1458,46530
20201028,3513,1464,46855
20201029,3537,1472,47191
20201030,3650,1475,47461
20201031,3762,1480,47737
20201101,3762,1480,47647
20201102,3762,1480,47647
20201103,3965,1490,48330
20201104,3935,1496,48685
20201105,4012,1504,49007
20201106,4131,1512,49316
20201107,4236,1521,49675
20201108,4236,1521,49675
20201109,4395,1528,50045
20201110,4431,1533,50481
20201111,4763,1538,50880
20201112,5004,1548,51332
20201113,5306,1553,51774
20201114,5705,1559,52084
20201115,5705,1559,52084
20201116,6849,1569,52438
20201117,7449,1582,52704
20201118,7714,1593,53342
20201119,8415,1602,54013
20201120,9131,1613,54695
20201121,9637,1621,55561
20201122,10224,1628,55951
20201123,11232,1638,56272
20201124,11500,1649,57094
20201125,12139,1660,58041
20201126,12784,1678,58982
20201127,12973,1694,60348
20201128,13320,1711,61505
20201129,13582,1729,62195
20201130,13829,1745,63186
20201201,13253,1758,65051
20201202,12907,1775,66585
20201203,12817,1788,68042
20201204,13238,1807,69355
20201205,13340,1823,70750
20201206,13780,1840,71430
20201207,14616,1851,72026
20201208,14112,1862,73633
20201209,14077,1882,75079
20201210,13983,1903,76644
20201211,13185,1924,78842
20201212,13273,1943,80091
20201213,13512,1957,80751
