FaixaEtaria;UF;Fem;Masc
"[40-45)";"22";123406;103457
"[45-50)";"22";124245;99888
"[50-55)";"22";119385;92241
"[55-60)";"22";108227;82198
"[60-65)";"22";91833;72011
"[65-70)";"22";72573;62041
"[70-75)";"22";53778;48881
"[75-80)";"22";37734;32158
"[80-85)";"22";24841;16784
"[85-90)";"22";14096;7742
"[90-95)";"22";6216;3659
"[95-100)";"22";2249;2062
"[100+)";"22";1328;1639
"[0-5)";"23";260512;257183
"[5-10)";"23";284958;279198
"[10-15)";"23";341162;328519
"[15-20)";"23";391153;369526
"[20-25)";"23";390494;363551
"[25-30)";"23";359931;331507
"[30-35)";"23";337532;307994
"[35-40)";"23";344538;311030
"[40-45)";"23";363965;323035
"[45-50)";"23";367315;316839
"[50-55)";"23";333692;276326
"[55-60)";"23";279130;223089
"[60-65)";"23";224471;177987
"[65-70)";"23";179509;146615
"[70-75)";"23";142241;119523
"[75-80)";"23";110244;90463
"[80-85)";"23";80590;59489
"[85-90)";"23";48788;31505
"[90-95)";"23";20979;12425
"[95-100)";"23";6692;3988
"[100+)";"23";3638;2223
"[0-5)";"24";99440;92919
"[5-10)";"24";109323;100036
"[10-15)";"24";132755;116075
"[15-20)";"24";155567;130170
"[20-25)";"24";159202;130467
"[25-30)";"24";148237;122258
"[30-35)";"24";135534;115555
"[35-40)";"24";129134;116316
"[40-45)";"24";127229;120796
"[45-50)";"24";126490;122716
"[50-55)";"24";123644;116664
"[55-60)";"24";115111;102900
"[60-65)";"24";98725;84230
"[65-70)";"24";76550;64163
"[70-75)";"24";55813;46055
"[75-80)";"24";40380;31618
"[80-85)";"24";29552;20180
"[85-90)";"24";19417;9788
"[90-95)";"24";9821;2824
"[95-100)";"24";3873;512
"[100+)";"24";2353;205
"[0-5)";"25";132447;119611
"[5-10)";"25";138244;124310
"[10-15)";"25";149916;134493
"[15-20)";"25";157299;143328
"[20-25)";"25";152212;144584
"[25-30)";"25";142078;141157
"[30-35)";"25";136952;138501
"[35-40)";"25";142621;140138
"[40-45)";"25";153120;143030
"[45-50)";"25";158043;142332
"[50-55)";"25";148632;133755
"[55-60)";"25";128783;115917
"[60-65)";"25";105649;90659
"[65-70)";"25";84118;64183
"[70-75)";"25";65964;45531
"[75-80)";"25";51570;36723
"[80-85)";"25";38390;32829
"[85-90)";"25";20602;17284
"[90-95)";"25";5694;2447
"[95-100)";"25";835;87
"[100+)";"25";291;13
"[0-5)";"26";316612;283676
"[5-10)";"26";322603;309395
"[10-15)";"26";336661;366377
"[15-20)";"26";352575;410748
"[20-25)";"26";364725;395877
"[25-30)";"26";373534;350229
"[30-35)";"26";381336;316238
"[35-40)";"26";388717;313817
"[40-45)";"26";388263;324142
"[45-50)";"26";370999;319633
"[50-55)";"26";333497;282511
"[55-60)";"26";285447;230725
"[60-65)";"26";237160;183730
"[65-70)";"26";193799;147707
"[70-75)";"26";153998;115050
"[75-80)";"26";116930;81756
"[80-85)";"26";81104;49737
"[85-90)";"26";44009;23971
"[90-95)";"26";15565;8441
"[95-100)";"26";3807;2401
"[100+)";"26";1796;1262
"[0-5)";"27";105332;108658
"[5-10)";"27";112129;117641
"[10-15)";"27";126830;136587
"[15-20)";"27";138386;148814
"[20-25)";"27";136194;138626
"[25-30)";"27";127186;118244
"[30-35)";"27";122112;102984
"[35-40)";"27";127177;99020
"[40-45)";"27";136326;100431
"[45-50)";"27";138972;99548
"[50-55)";"27";127079;91032
"[55-60)";"27";106763;78163
"[60-65)";"27";86165;65352
"[65-70)";"27";68801;54227
"[70-75)";"27";52685;42453
"[75-80)";"27";36943;29296
"[80-85)";"27";22779;16483
"[85-90)";"27";12139;6720
"[90-95)";"27";5526;1747
"[95-100)";"27";2353;328
"[100+)";"27";1548;138
"[0-5)";"28";70597;66556
"[5-10)";"28";76727;71411
"[10-15)";"28";90007;82308
"[15-20)";"28";99551;91856
"[20-25)";"28";94780;92001
"[25-30)";"28";84629;85711
"[30-35)";"28";80703;79161
"[35-40)";"28";89306;76158
"[40-45)";"28";103304;75759
"[45-50)";"28";107361;76255
"[50-55)";"28";90247;75490
"[55-60)";"28";66476;69528
"[60-65)";"28";48692;55973
"[65-70)";"28";38911;37905
"[70-75)";"28";32522;22875
"[75-80)";"28";26350;13348
"[80-85)";"28";19050;7955
"[85-90)";"28";11000;4591
"[90-95)";"28";4510;2368
"[95-100)";"28";1409;1121
"[100+)";"28";763;771
"[0-5)";"29";428201;417902
"[5-10)";"29";445782;447856
"[10-15)";"29";486426;513646
"[15-20)";"29";529093;567089
"[20-25)";"29";552890;559359
"[25-30)";"29";564113;518477
"[30-35)";"29";578776;490123
"[35-40)";"29";607222;499252
"[40-45)";"29";629602;520170
"[45-50)";"29";615649;512291
"[50-55)";"29";550567;451423
"[55-60)";"29";465724;370806
"[60-65)";"29";391664;302982
"[65-70)";"29";337432;256049
"[70-75)";"29";283496;209733
"[75-80)";"29";216768;152042
"[80-85)";"29";141880;91495
"[85-90)";"29";77141;47735
"[90-95)";"29";34076;23163
"[95-100)";"29";13477;11790
"[100+)";"29";8479;8670
"[0-5)";"31";570100;585370
"[5-10)";"31";588785;615371
"[10-15)";"31";633937;682335
"[15-20)";"31";687594;744087
"[20-25)";"31";731314;758386
"[25-30)";"31";764483;740840
"[30-35)";"31";793063;724963
"[35-40)";"31";821483;733066
"[40-45)";"31";843095;749621
"[45-50)";"31";847751;748746
"[50-55)";"31";824860;710129
"[55-60)";"31";763379;637876
"[60-65)";"31";659713;544764
"[65-70)";"31";526492;441860
"[70-75)";"31";395053;333352
"[75-80)";"31";285831;227959
"[80-85)";"31";198321;135250
"[85-90)";"31";116053;62024
"[90-95)";"31";48847;19237
"[95-100)";"31";15378;4432
"[100+)";"31";8320;2067
"[0-5)";"32";128257;126712
"[5-10)";"32";124782;128004
"[10-15)";"32";119539;131068
"[15-20)";"32";119635;134653
"[20-25)";"32";129983;137661
"[25-30)";"32";146632;139994
"[30-35)";"32";160876;141834
"[35-40)";"32";163859;143139
"[40-45)";"32";159459;142887
"[45-50)";"32";155488;139859
"[50-55)";"32";156134;133048
"[55-60)";"32";153047;121876
"[60-65)";"32";136042;106496
"[65-70)";"32";103968;87397
"[70-75)";"32";70272;64699
"[75-80)";"32";44102;41245
"[80-85)";"32";26333;21604
"[85-90)";"32";13906;8856
"[90-95)";"32";5893;2705
"[95-100)";"32";2117;700
"[100+)";"32";1255;356
"[0-5)";"33";406157;406847
"[5-10)";"33";420162;430372
"[10-15)";"33";455647;483943
"[15-20)";"33";502219;535602
"[20-25)";"33";548104;551494
"[25-30)";"33";588215;542504
"[30-35)";"33";619439;534481
"[35-40)";"33";640550;545916
"[40-45)";"33";658228;568790
"[45-50)";"33";682126;587318
"[50-55)";"33";715496;585908
"[55-60)";"33";729414;558039
"[60-65)";"33";686329;503156
"[65-70)";"33";574370;424410
"[70-75)";"33";436767;326461
"[75-80)";"33";312858;222475
"[80-85)";"33";211438;129610
"[85-90)";"33";117676;60626
"[90-95)";"33";45482;21241
"[95-100)";"33";12787;6180
"[100+)";"33";6517;3303
"[0-5)";"35";1138131;1193487
"[5-10)";"35";1180849;1249571
"[10-15)";"35";1287268;1374481
"[15-20)";"35";1421736;1490296
"[20-25)";"35";1544029;1521206
"[25-30)";"35";1642191;1498754
"[30-35)";"35";1714658;1487472
"[35-40)";"35";1763957;1531498
"[40-45)";"35";1802991;1597340
"[45-50)";"35";1848628;1626220
"[50-55)";"35";1899301;1569338
"[55-60)";"35";1871951;1437897
"[60-65)";"35";1676498;1262696
"[65-70)";"35";1319379;1060754
"[70-75)";"35";958607;813313
"[75-80)";"35";689704;536919
"[80-85)";"35";498986;288234
"[85-90)";"35";296069;119378
"[90-95)";"35";111239;36233
"[95-100)";"35";26773;9189
"[100+)";"35";12303;4611
"[0-5)";"41";292432;290935
"[5-10)";"41";309131;317228
"[10-15)";"41";346754;376424
"[15-20)";"41";381897;425679
"[20-25)";"41";390810;417935
"[25-30)";"41";384744;380094
"[30-35)";"41";385853;355401
"[35-40)";"41";410022;368163
"[40-45)";"41";447067;404511
"[45-50)";"41";475773;438151
"[50-55)";"41";473962;439659
"[55-60)";"41";438066;401270
"[60-65)";"41";375401;330655
"[65-70)";"41";297911;246000
"[70-75)";"41";218200;170200
"[75-80)";"41";146931;113634
"[80-85)";"41";89078;72556
"[85-90)";"41";44476;36535
"[90-95)";"41";16446;11426
"[95-100)";"41";4868;2318
"[100+)";"41";2599;986
"[0-5)";"42";176864;189978
"[5-10)";"42";183580;193229
"[10-15)";"42";199841;201820
"[15-20)";"42";219115;214070
"[20-25)";"42";234648;228078
"[25-30)";"42";247319;241563
"[30-35)";"42";261045;251734
"[35-40)";"42";278830;256562
"[40-45)";"42";296353;258496
"[45-50)";"42";306079;261353
"[50-55)";"42";300814;266140
"[55-60)";"42";278484;261873
"[60-65)";"42";241051;236184
"[65-70)";"42";193440;187116
"[70-75)";"42";142105;130002
"[75-80)";"42";94264;79888
"[80-85)";"42";55126;42286
"[85-90)";"42";26634;16318
"[90-95)";"42";9861;3752
"[95-100)";"42";3062;569
"[100+)";"42";1691;212
"[0-5)";"43";276791;323184
"[5-10)";"43";280916;321041
"[10-15)";"43";293987;319637
"[15-20)";"43";317780;326498
"[20-25)";"43";353133;346586
"[25-30)";"43";391491;371336
"[30-35)";"43";417524;385923
"[35-40)";"43";419224;379615
"[40-45)";"43";411472;366394
"[45-50)";"43";416016;365212
"[50-55)";"43";445486;386297
"[55-60)";"43";470872;404653
"[60-65)";"43";446725;382464
"[65-70)";"43";356590;304709
"[70-75)";"43";253522;211307
"[75-80)";"43";175189;135054
"[80-85)";"43";121118;81222
"[85-90)";"43";68271;40565
"[90-95)";"43";24117;14317
"[95-100)";"43";5425;3777
"[100+)";"43";2411;1879
"[0-5)";"50";97336;100579
